date,currency_code,local_price,dollar_ex,dollar_price
01/05/2006,GBP,1.94,1,1.94
01/05/2006,CAD,3.52,1,3.52
01/05/2006,CLP,1560,529,2.95
01/05/2006,CNY,10.5,8,1.31
01/05/2006,COP,6500,2503,2.6
01/05/2006,CRC,1130,509,2.22
01/05/2006,CZK,59.05,22,2.68
01/05/2006,DKK,27.75,5,5.55
01/05/2006,EGP,9.5,5,1.9
01/05/2006,EUR,2.939573529,1,2.94
01/05/2006,HKD,12,7,1.71
01/05/2006,HUF,560,206,2.72
01/05/2006,IDR,14600,9325,1.57
01/05/2006,JPY,250,112,2.23
01/05/2006,MYR,5.5,3,1.83
01/05/2006,MXN,29,11,2.64
01/05/2006,NZD,4.45,1,4.45
01/05/2006,NOK,43,6,7.17
01/05/2006,PKR,130,60,2.17
01/05/2006,PEN,9.5,3,3.17
01/05/2006,PHP,85,52,1.63
01/05/2006,PLN,6.5,3,2.17
01/05/2006,RUB,48,27,1.78
01/05/2006,SAR,9,3,3
01/05/2006,SGD,3.6,1,3.6
01/05/2006,ZAR,13.95,6,2.32
01/05/2006,KRW,2500,952,2.63
01/05/2006,LKR,190,102,1.86
01/05/2006,SEK,33,7,4.71
01/05/2006,CHF,6.3,1,6.3
01/05/2006,TWD,75,32,2.34
01/05/2006,THB,60,38,1.58
01/05/2006,TRY,4.2,1,4.2
01/05/2006,AED,9,3,3
01/05/2006,UAH,8.5,5,1.7
01/05/2006,USD,2.78,1,2.78
01/05/2006,UYU,42.28,23,1.84
01/05/2006,VEF,5701.25,2519,2.26
01/01/2007,ARS,8.25,3,2.75
01/01/2007,AUD,3.45,1,3.45
01/01/2007,BRL,6.4,2,3.2
01/01/2007,GBP,1.94,1,1.94
01/01/2007,CAD,3.63,1,3.63
01/01/2007,CLP,1670,540,3.09
01/01/2007,CNY,11,7,1.57
01/01/2007,COP,6900,2239,3.08
01/01/2007,CRC,1130,509,2.22
01/01/2007,CZK,52.1,21,2.48
01/01/2007,DKK,27.75,5,5.55
01/01/2007,EGP,9.09,5,1.82
01/01/2007,EUR,2.94,1,2.94
01/01/2007,HKD,12,7,1.71
01/01/2007,HUF,590,194,3.04
